DateTime,Outdoor global irradiation(W m⁻²),Outdoor air temperature(°C),Outdoor vapor concentration(kg m⁻³),Outdoor CO2 concentration(kg{CO2} m⁻³{air}),Outdoor wind speed(m s⁻¹),Sky temperature(°C),Temperature of external soil layer (°C),Daily light sum (MJ m⁻² day⁻¹),Elevation (m),Outdoor vapor pressure (Pa)
726184.875,0,11.0,0.008681408637435049,0.0007738737926367577,6.2,0.5134262883606198,5.851519541284525,6.9048,35.0,8.662857003463433e-07
726184.9166666666,0,10.0,0.008151708596472454,0.0007766068803734228,7.2,-0.7866742587479507,5.8537524958771066,6.9048,35.0,7.637971614000333e-07
726184.9583333334,0,10.0,0.007121032796918465,0.0007766068803734228,6.2,-1.2242071182337781,5.855989066490315,6.9048,35.0,6.672251065103738e-07
726185.0,0,10.0,0.006652543797121197,0.0007766068803734228,3.1,-1.4437678889813697,5.8582292519735235,15.2676,35.0,6.23328717924165e-07
726185.0416666666,0,10.0,0.006652543797121197,0.0007766068803734228,5.7,-1.4437678889813697,5.860473051174249,15.2676,35.0,6.23328717924165e-07
726185.0833333334,0,10.0,0.00618405479732393,0.0007766068803734228,4.6,-1.6638622227677047,5.862720462938144,15.2676,35.0,5.794323293379562e-07
726185.125,0,9.0,0.006243356059884967,0.0007793593414061128,5.7,-2.549636304907949,5.864971486109006,15.2676,35.0,5.490069702887653e-07
726185.1666666666,0,8.0,0.0058562225550170734,0.0007821313824568191,2.1,-3.6692315304515546,5.867226119528777,15.2676,35.0,4.830329945618409e-07
726185.2083333334,0,6.0,0.005868661402382906,0.0007877350463110682,1.5,-5.720397049500946,5.869484362037536,15.2676,35.0,4.251998352570235e-07
726185.25,3,5.0,0.0059028640737875445,0.0007905670975291559,0.5,-6.6473766902308284,5.871746212473509,15.2676,35.0,4.005034973978355e-07
726185.2916666666,91,9.0,0.006683029021848698,0.0007793593414061128,1.5,-2.3273770919356593,5.874011669673063,15.2676,35.0,5.876694329851575e-07
726185.3333333334,299,10.0,0.00618405479732393,0.0007766068803734228,0.0,-1.6638622227677047,5.876280732470713,15.2676,35.0,5.794323293379562e-07
726185.375,510,13.0,0.006554035445123914,0.0007684649246120381,0.5,1.5828621620615877,5.878553399699116,15.2676,35.0,7.406100106196658e-07
